NCTNumber,LeadSponsorName,InterventionDescription,BaselineMeasurePopulationDescription,DesignInterventionModelDescription,InterventionName,PrimaryOutcomeDescription
NCT03916783,Washington University School of Medicine,"The FDA will be a matched savings account held in the child's name with the parent or caregiver as the co-signer, in a financial institution registered by the Central Bank (Bank of Uganda). The account opened will be matched with money from the program up to a match cap of 72,000 Uganda shillings (an equivalent of $20) a month per family for the 9-month intervention period.

The FDAs will be complemented with four sessions of Financial Literacy and Management (FL&M) and two sessions of cancer education conducted over a 4-week period. The two cancer-specific education sessions will use UCI materials to address: 1) definitions of cancer, potential causes, signs and symptoms, and importance of cancer testing; 2) debunking cultural explanations for the causes of cancer and misconceptions (beliefs, values, norms and prevailing attitudes)regarding cancer that largely impede service use.",,"Due to insufficient sample size, the intervention (Aim 3) was not implemented. The enrolment number specified is for Aim 2.",Combination intervention,Change in mean count of cases accessing cancer services.
NCT03919695,San Diego State University,"The intervention has two components; a structural component and a behavioral component.

Structural component: This component is about receiving work payments via mobile money instead of cash.

Behavioral component: This component includes feedback on alcohol screening, counseling, client-centered goal setting, self-monitoring, financial literacy training, and text message reminders of life/savings and healthy living goals.",,,Behavioral and Structural Intervention,≥ 5 drinks per occasion
NCT03878147,Michigan State University,"Brain Powered Games (BPG) uses games for neurocognitive assessment and training, using images and sounds more familiar to African children. As a computerized cognitive rehabilitation training (CCRT) program designed for Sub-Saharan African school-age children, it can help children infected affected directly or indirectly by HIV. BPG consists of 5 core games evaluating different cognitive abilities (learning, memory, language, attention). Each game includes a visual tutorial, several adjustable settings on the administrative side (Admin), and records game play data for research purposes. Village Builder (VB) is a pro-social reasoning/planning world building strategy type game intended to evaluate frontal lobe executive functions in a culture-friendly and enjoyable game manner. It consists of many of the village artistic components as used in BPG but orchestrated into a village setting where children must gather resources and protect them in order to expand the capacity of the village.",,The subject population for this proposal will consist of 600 children roughly equally divided between males and females and between HIV exposed uninfected and HIV unexposed and uninfected. These are Ugandan and Malawian children 5-12 years of age at study initiation who live in Uganda or Malawi.,Cognitive Games Training,"the KABC-II will be the principal test for cognitive ability.47 It is validated in sub-Saharan Africa48-51 and has been adapted for pediatric HIV research.1,18,46,52-55 Using the Luria model for neuropsychological assessment within KABC-II, the primary outcome variables are the global scores of Sequential Processing (memory), Simultaneous Processing (visual-spatial processing and problem solving), Learning (immediate and delayed memory), Planning (executive reasoning), Delayed Recall, Nonverbal Index (NVI) subtests not dependent on understanding instructions in English, and Mental Processing Index (MPI), a composite of all the cognitive performance areas."
NCT03832530,Massachusetts General Hospital,"Observational evaluation of factors associated with uptake of and adherence to daily, oral TDF/FTC PrEP and other safer conception methods (including: CHCT, ART for the infected partner, and uptake of contraception for those who decide not to conceive during follow-up) over 9 month. Maximum 19 month follow-up period (through pregnancy outcome).",,Safer conception counseling,Safer conception counseling inclusive of periconception PrEP,Measure prevalence (measured by the proportion of women who collect the first 3 month supply of drug) TDF/FTC PrEP for safer conception
NCT03648931,Microbicide Trials Network,"No actual intervention is planned. A single focus group discussion (FGD) with community members in the same group assignment will be conducted to assess study outcome measures. In particular, the FGDs will focus on:

Perceptions of taboos and acceptable and/or typical practices during pregnancy, childbirth and breastfeeding
Perceptions of HIV risk during pregnancy and breastfeeding
Perceived role of male partners during pregnancy and breastfeeding
Main challenge(s) perceived with VR and oral PrEP use during pregnancy and breastfeeding
Main factor(s) perceived to facilitate VR and oral PrEP use during pregnancy and breastfeeding
Willingness to join a VR and/or oral PrEP study during pregnancy and breastfeeding",,,Focus Group Discussion (FGD),Focus group discussions and key informant in-depth interviews
NCT03583541,Washington University School of Medicine,"This is an intervention comprised of 4 sessions provided twice per week for 2 weeks of an evidence-based, HIV/STI risk reduction intervention.",,,HIV Risk Reduction,Change in STI incidence as measured by laboratory assays
NCT03718871,Weill Medical College of Cornell University,"HIV 1/2 antigen-antibody POC test (Oraquick©) will be administered to those participants who agree to test. Pre-test counseling will be performed before results are delivered. Clients with positive tests will be provided with detailed contact information for the MUST ISS clinic, and given specific instructions to present to the clinic as soon as possible for confirmatory testing and linkage to care.",Race and Ethnicity were not collected from any participant.,"This is a mixed methods study where Aims 1 and 2 have both qualitative and quantitative arms. Aim 3 is an unblinded intervention, with a control arm, to be delivered in cluster-randomized fashion (Sept 2019-June 2020). Healers will be treated as clusters and randomized to either intervention or control arm.",HIV testing at traditional healer practices,"Primary study outcome was receipt of an HIV test within 90 days of enrollment. In the control arm, this was assessed via self-report at time of 90-day phone call follow up. For intervention arm, the participating healer recorded whether an HIV test was accepted by the participant at the time of the study visit. If the HIV test was accepted and delivered, the healer recorded the result of the test."
NCT03494777,RAND,"When a participant comes for a regular clinic visit, s/he will have the MEMS data extracted, and if adherence over the previous month >=90%, will participate in a prize drawing.",,"Randomized controlled trial with two intervention arms and a control group will receive an intervention for twelve months; those not showing viral suppression at month 12 will be randomized to either continue receiving the year 1 intervention for another twelve months, or receive an additional intervention component for twelve months.

The main analysis will be based on the sample of 330 treatment mature clients, from which the 70 treatment initiating clients will be excluded.",Incentivization based on high adherence,Number of ART doses taken / number of doses prescribed
NCT03484533,University of Washington,"We will conduct a randomized trial to evaluate whether provision of oral HIV self-test kits to HIV-positive pregnant women overcomes their male partners' reluctance to be tested in PMTCT clinics. Pregnant women who are randomized to the HIVST arm will be trained in the use and interpretation of HIVST, and given two oral fluid-based HIVST kits to use with or give to their partners, along with information about HIV testing and prevention and care services. We will offer men confirmatory testing regardless of their HIV test result through HIVST, counseling, and if negative, PrEP and if positive, ART.",,,HIV self-test kit,"The outcome measure is:

ART continuation at 12 months post-partum as measured by self-reported ART usage and adherence"
NCT03492216,"University of California, San Francisco",Economic incentives are given to the study participant contingent on point-of-care (POC) urine ethyl glucuronide (EtG) <300 ng/mL with the amount of the incentive escalating with each subsequent negative EtG test.,,,Incentives for negative EtG test,"Aim 1: Primary Outcome 1. Non-heavy drinking is a composite outcome, measured at both 3 and 6 months. I.e. an individual must meet non-heavy drinking criteria at both time-points in order to achieve the outcome."
NCT03435497,RAND,Game Changers is an intervention that aims to empower and mobilize PLHA to be agents for HIV prevention and behavioral change in their social networks.,,,Game Changers,Self-reported communication with social network members about protective behaviors. This is a composite of 14 survey items rated on a scale of 1 (low level of communication) to 5 (high level of communication).
NCT03386578,National Institute of Allergy and Infectious Diseases (NIAID),200 mg/300 mg of FTC/TDF administered orally as a fixed-dose combination tablet once daily,,,Emtricitabine/Tenofovir Disoproxil Fumarate (FTC/TDF),Determined from PK data
NCT03307226,Washington University School of Medicine,"Youth Development Accounts (YDA) with 1:1 incentive match rate to be used for education and microenterprise development Financial workshops on asset-building, saving and investing in Income Generating Activities (IGAs) Behavioral: Youth Development Accounts (YDA)",,,Youth Development Accounts (YDA),"Change in proportion of girls biologically confirmed STIs (Gonorrhea, Tirchomonas, and Chlamydia) at each assessment time point (Baseline, 12-, 24-, and 36-month follow-up)"
NCT03315962,"University of California, San Francisco","The intervention will include implementing a teaching collaborative among group of DHOs and TB Supervisors, enabling text messaging between DHOs and front line providers, and establishing a report collaborative where DHOs will receive feedback on the performance of their district in administering IPT compared to other districts.",,,SPIRIT Intervention,Rate at which eligible HIV-infected adults receive a prescription for INH
NCT02964169,Mbarara University of Science and Technology,,,,Family Planning Support,
NCT02890459,"University of California, San Francisco",Low expected prize value.,,,Prize incentive - Low,Aim 1 (IBIS HIV Testing Trial) primary outcome
NCT02775357,Rakai Health Sciences Program,Measurement and communication of HIV risk in the context of HIV testing and counseling to inform HIV risk reduction counseling,,,Measurement and communication of HIV risk,Circumcision status of men ascertained using a questionnaire and confirmed by examination
NCT02729337,Center for Innovative Public Health Research,"Comprehensive, mHealth-based HIV prevention program for Ugandan adolescents 18-22 years of age.",,,ITG (In This Together),The number of participants recruited for the RCT (n=200)
NCT02556957,Johns Hopkins University,,,,HealthScouts,Proportion of the entire population who have detectable HIV viremia
NCT02702895,Microbicide Trials Network,,,,In-depth Interview (IDIs) or Focus Group Discussion (FGD),Socio-contextual and trial specific issues which affected participants' adherence to the dapivirine VR will be captured by IDI and/or FGD.
NCT02545673,Susan M Kiene,,,,Enhanced linkage to care,defined as HIV RNA <20 cells/ml collected via venous blood draw
NCT02503072,RAND,"Clients coming for clinic visits have their MEMS data extracted, and if they show 95% adherence or higher are eligible to draw a number (1-6) out of a closed bag without looking; if they draw a '6' they win a small prize.",,,Small lottery prizes based on adherence,Change in adherence over the course of the study
NCT02497456,MRC/UVRI and LSHTM Uganda Research Unit,,,,Follow-up counselling,
NCT02438930,Susan M. Kiene,,,,Motivational interviewing intervention during HIV testing,Unprotected sex with serodiscordant or unknown HIV status partners
NCT02396394,Boston University,"Intervention subjects will use an electronic pill container to hold their antiretroviral medications. Throughout the 6-month intervention (until subjects are 3 months post-partum), whenever an intervention subject fails to open her electronic pill container within 60 minutes of dose time (as indicated by lack of a pill container opening), she will be sent a text message reminder. Each intervention subject will also participate in monthly counseling sessions informed by the subject's most recent adherence data generated by the electronic pill container. The counselor will review the adherence report with the patient and 1) provide positive feedback when adherence is ≥95% in the previous month, or 2) discuss reasons for lapses and strategies for improving adherence when adherence is <95%.",,,Two-Step Adherence Feedback,"Subjects will participate in the 6-month real-time feedback intervention using electronic pill container/device and data-informed counseling. Comparison patients will continue to be monitored by electronic pill container, but they will remain blinded to the adherence information generated by the devices, as will their counselors. The 6-month period will be followed by passive monitoring for 3 months."
NCT02050763,Johns Hopkins Bloomberg School of Public Health,"SHARE aimed to reduce IPV and used methodologies from two proven successful violence prevention frameworks: Stepping Stones (Welbourn, 1995) and the Resource Guide for Mobilizing Communities to Prevent Domestic Violence (Michau & Naker, 2003). SHARE promoted a process of social change based on the Transtheoretical Model's Stages of Change Theory (Prochaska & DiClemente, 1983; Prochaska & Velicer, 1997) which posits that although people realize they need to make changes in their life, they do it in stages instead of one major life change. There are five main stages of change: (1) pre-contemplation, (2) contemplation, (3) preparation for action, (4) action and (5) maintenance.

We hypothesized that repeated exposure to the ideas included in SHARE would encourage men and women to begin a process of change that results in preventive behavior.",,,The SHARE Project,"Physical violence was measured by asking female participants, ""In the past 12 months has your current partner done any of the following to you: Pushed, pulled, slapped, or held you down? Punched you with fist or with something that could hurt you? Kicked you or dragged you? Tried to strangle you or burn you? Threatened you with a knife, gun or other type of weapon? Attacked you with knife, gun, or other weapon?"" (Yes/No)

Sexual IPV was measured by asking female participants, ""In the past 12 months has your current partner done any of the following to you: Used verbal threats to force you to have sex when you did not want to? Physically forced you to have sex when you did not want to? Forced you to perform other sexual acts when you did not want to?"" (Yes/No)

Emotional intimate partner violence was measured by asking female participants, ""In the past 12 months, has your current partner verbally abused or shouted at you?"" (Yes/No)."
NCT02038582,University of Washington,Point of Care CD4 testing,,,POC CD4 Testing,"Proportion of HIV positive individuals in the POC CD4 arm who visit a clinic, obtain a staging CD4 test, initiate ART if eligible, or have a viral load <50 copies/mL within 9 months compared to those in the clinic referral arm."
NCT01971710,Elizabeth Glaser Pediatric AIDS Foundation,"Community leaders conducting advocacy, community dialogue and community action plans on PMTCT/MCH",,,Community leader engagement,"The general objective for the study is to assess the efficacy of the three study arm activities on the uptake of, and retention of HIV positive pregnant/postpartum women in MCH/PMTCT services as measured by the proportion of infants returning to the health facility at 6-8 weeks of age for the early infant diagnosis (EID) of HIV."
NCT01882998,"University of California, San Francisco",Pregnant/breastfeeding women in the intervention arm and their male partners if present will receive extended repeat HIV testing and enhanced counseling around the time of labor and delivery and throughout the breastfeeding period.,,,Extended repeat HIV testing and enhanced counseling,Self-reported number of unprotected sex episodes among women participants validated by detection of semen (Y chromosome) in vaginal swabs
NCT01802736,Makerere University,,,,Motivational intervention counselling plus SPP,
NCT01790373,Washington University School of Medicine,"Matched savings accounts/child development accounts (CDAs) for the adolescents held in a local bank.
Financial education and workshops on asset-building, future planning, and protection from risks
Mentorship from a young adult/near-peer
Family-based microenterprise development training
Medical Event Monitoring System

Bolstered Standard of Care: Adherence Counseling Practices

-Four to six counseling sessions to review HIV, ART, resistance, and adherence.

Medical Standard of Care:

-Pediatric ART initiation and monitoring followed by all public clinics, and outlined in National Department of Health Guidelines for pediatric HIV care in Uganda

Psychosocial Standard of Care:

-Psychosocial support provided by lay counselors trained in standardized ART adherence counseling",,,Suubi+Adherence,"Adherence to HIV treatment regimen outcomes for HIV-positive adolescents, including participants' ability to access and refill prescribed HIV antiretroviral therapy and adhere to prescribed daily HIV medication routines."
NCT01773642,University of Connecticut,,,,Cognitive behavioral intervention to support pediatric HIV disclosure,
NCT01640561,Johns Hopkins Bloomberg School of Public Health,The Mediational Interventions for Sensitizing Caregivers,,,MISC,Mullen Scales of Early Learning
NCT01447615,Columbia University,"Each child participant in the Bridges Arm will receive the usual care in addition to a Child Development Account (CDA) to be used for secondary education by the AIDS-orphaned child. The CDA will be a matched savings account held in the child's name in a financial institution registered by the Central Bank (Bank of Uganda). The account will be matched with money from the program at a match rate of 1:1. Additionally, participants will receive: 1) twelve 1-2 hour workshops focused on asset building, future planning, and protection from risks; 2) mentorship sessions to reinforce learning and build optimism; and 3) a family income-generating /micro-enterprise promotion component for children enrolled in Bridges and their families.",,,Bridges,"Increased confidence in saving ability and stronger financial stability. Accumulation of formal and informal savings and wealth/assets (e.g. livestock, type of housing, land); and change in attitudes toward saving."
NCT01366690,Johns Hopkins University,A trained peer supporter is assigned to support newly HIV-positive diagnosed persons.,,,Peer Support,"Adherence to a basic care package of preventive care interventions (bednets, water vessels, cotrimoxazole)"
NCT01144234,Centre For International Health,In this arm the pregnant women got an invitation letter for the spouse to attend at the next antenatal visit,,,Invitation letter for male spouse,The proportion of pregnant women who come with their partners for antenatal care at the subsequent antenatal visit.
NCT00972192,Makerere University,Participants who were randomized to the intervention group received free HIV testing and their results before they were discharged from the hospital.,,,Inpatient HIV testing,
NCT00926003,Michigan State University,"8 weeks of 3 times weekly intervention for 60 min per session with the full titrating version of Captain's Log program (3 games for attention, 3 games for visual spatial working memory, 3 games for reasoning/planning",,,Full Computerized cognitive training,"Kaufman Assessment Battery for Children, 2nd edition (KABC-II) Mental Processing Index (MPI), which is a global cognitive ability performance composite that is a standard score with a mean of 100 and a standard deviation of 15, with scores for our population of children typically ranging from 55 to 130. the MPI is comprised of the standardized global scores for the cognitive domains of Sequential Processing, Simultaneous Processing, Learning, and Planning. These standardized global domain scores are summed and converted (on the basis of age of child, using American norms) to a composite global performance measure called the Mental Processing Index (MPI) standard score (T score). Higher T scores indicate better performance and a better neuropsychological outcome."
NCT00889395,Makerere University,Caregivers of children in the intervention arm will undergo a year long training in MISC,,,MISC training for primary caregivers,
NCT00790959,London School of Hygiene and Tropical Medicine,"A community mobilization approach to try to change community and individual attitudes and behaviours that support both the perpetration of violence against women and HIV risk behaviours

The intervention team engages with four major groups of actors: community volunteers selected from the general public; community leaders (e.g. religious, cultural and local council leaders); resource persons (health care providers, police, etc); and institutional leaders. The community volunteers are a key component of the intensive intervention.",,,SASA!,
NCT00648232,"University of California, Los Angeles","Participants will receive 10 to 15 minutes of pretest counseling on the importance of HIV testing and on available services for people infected with HIV. After pretest counseling, participants will undergo a blood draw for HIV testing. Participants will receive test results and additional counseling 1 hour after the blood sample is drawn.",,,Voluntary brief HIV counseling and testing,
